rank,city_name,iso3,pop_M,area_km2,ntl_avg,gdp_bn
1,Cairo,EGY,19.73,1585.0,47.07,164.21
2,Lagos,NGA,11.58,1196.0,9.0,112.87
3,Johannesburg,ZAF,6.52,1638.0,27.23,105.37
4,Algiers,DZA,3.86,727.0,43.37,43.11
5,Alexandria,EGY,5.53,598.0,38.01,41.03
6,Luanda,AGO,6.79,771.0,26.88,40.66
7,Cape Town,ZAF,3.51,697.0,34.77,32.58
8,Nairobi,KEN,3.99,337.0,18.4,29.84
9,Durban,ZAF,2.87,745.0,19.38,26.79
10,Dar es Salaam,TZA,5.35,660.0,7.83,25.04
11,Casablanca,MAR,3.99,393.0,39.87,22.83
12,Accra,GHA,4.41,846.0,12.92,21.61
13,Onitsha,NGA,3.15,781.0,0.91,20.41
14,Pretoria,ZAF,1.47,437.0,22.9,18.35
15,Khartoum,SDN,5.82,750.0,16.0,17.3
16,Tunis,TUN,2.12,418.0,35.69,16.13
17,Abuja,NGA,1.45,337.0,15.31,14.7
18,Ibadan,NGA,3.16,477.0,2.64,13.96
19,Rabat,MAR,1.87,215.0,36.45,13.46
20,Abidjan,CIV,4.55,431.0,17.92,13.18
21,Kano,NGA,4.16,394.0,9.56,12.85
22,Addis Ababa,ETH,3.83,392.0,9.93,11.55
23,Tripoli,LBY,1.14,429.0,40.29,11.2
24,Yaounde,CMR,3.47,251.0,11.52,10.28
25,Oran,DZA,1.13,157.0,45.9,10.04
26,Dakar,SEN,3.36,277.0,14.38,9.75
27,Amaigbo,NGA,1.71,510.0,0.08,8.76
28,Kinshasa,COD,5.62,383.0,16.06,8.19
29,Lusaka,ZMB,2.38,309.0,24.84,8.07
30,Libreville,GAB,0.54,115.0,8.7,7.58
