country_iso3,country_name,region,n_cities,national_gdp_2020_bn,urban_gdp_share_pct,urban_gdp_2020_bn,primary_city,primary_city_gdp_share_pct,secondary_city,secondary_city_gdp_share_pct,tertiary_city,tertiary_city_gdp_share_pct
AFG,Afghanistan,Asia,59,19.8,75.4,14.9,Kabul,30.6,Mazar i sharif,7.88,Kunduz,5.0
AGO,Angola,Africa,56,62.3,98.0,61.1,Luanda,65.26,Lubango,4.35,Huambo,3.1
ALB,Albania,Europe,6,15.3,70.2,10.7,Tirana,47.39,Durrës,7.88,Vlora,5.21
ARE,United Arab Emirates,Asia,7,421.1,94.5,398.2,Dubai,60.64,Abu Dhabi,16.14,Al Ain,14.59
ARG,Argentina,Latin America and the Caribbean,70,383.1,98.0,375.4,Buenos Aires,63.1,Rosario,3.86,Cordoba,3.84
ARM,Armenia,Asia,3,12.6,58.6,7.4,Yerevan,50.88,Gyumri,4.98,Vanadzor,2.71
AUS,Australia,Oceania,27,1330.5,32.6,434.0,Melbourne,8.98,Sydney,8.98,Perth,4.2
AUT,Austria,Europe,6,433.3,18.2,78.6,Vienna,13.7,Graz,1.42,Linz,1.37
AZE,Azerbaijan,Asia,17,42.6,92.6,39.5,Baku,61.75,Sumgayit,9.63,Ganja,6.68
BDI,Burundi,Africa,42,3.1,41.0,1.3,Bujumbura,,Gitega,,Ngozi,
BEL,Belgium,Europe,12,521.9,19.2,100.4,Brussels,6.3,Antwerp,5.32,Liège,1.87
BEN,Benin,Africa,23,15.7,39.9,6.2,Cotonou,19.03,Porto-Novo,7.7,Parakou,3.28
BFA,Burkina Faso,Africa,41,18.0,37.8,6.8,Ouagadougou,21.29,Bobo-Dioulasso,8.68,Koudougou,1.1
BGD,Bangladesh,Asia,296,324.2,98.0,317.8,Dhaka,37.05,Comilla,12.59,Chattogram,5.42
BGR,Bulgaria,Europe,8,68.6,55.2,37.8,Sofia,32.22,Varna,6.36,Plovdiv,5.84
BHR,Bahrain,Asia,1,34.6,98.0,33.9,Manama,98.0,,,,
BHS,Bahamas,Latin America and the Caribbean,1,,,4.7,Nassau,,,,,
BIH,Bosnia and Herzegovina,Europe,5,20.2,30.7,6.2,Sarajevo,16.68,Banja Luka,5.81,Tuzla,3.25
BLR,Belarus,Europe,15,60.3,74.9,45.1,Minsk,30.48,Homel,5.94,Brest,5.85
BLZ,Belize,Latin America and the Caribbean,1,,,0.4,Belize City,,,,,
BOL,Bolivia,Latin America and the Caribbean,12,36.9,78.4,28.9,El Alto [La Paz],25.92,Santa Cruz de la Sierra,23.23,Cochabamba,16.6
BRA,Brazil,Latin America and the Caribbean,349,1444.7,98.0,1415.8,São Paulo,23.81,Rio de Janeiro,15.52,Belo Horizonte,3.46
BRB,Barbados,Latin America and the Caribbean,1,,,2.4,Bridgetown,,,,,
BRN,Brunei,Asia,1,12.1,16.0,1.9,Bandar Seri Begawan,15.97,,,,
BTN,Bhutan,Asia,1,2.5,4.0,0.1,Chang bangdu,,,,,
BWA,Botswana,Africa,7,17.8,25.7,4.6,Gaborone,,Francistown,,Kanye,
CAF,Central African Republic,Africa,8,2.3,23.1,0.5,Bangui,19.59,Badokwa,0.85,Bria,0.67
CAN,Canada,Northern America,48,1643.4,34.7,569.8,Toronto,11.55,Montreal,5.7,Vancouver,2.87
CHE,Switzerland,Europe,16,752.2,14.9,111.9,Zurich,4.65,Basel,2.48,Geneva,2.4
CHL,Chile,Latin America and the Caribbean,33,252.9,72.8,184.2,Santiago,50.7,Viña del Mar [Valparaíso],4.56,Concepción,2.95
CHN,China,Asia,1849,14722.8,47.9,7052.1,Shanghai,3.5,Guangzhou,2.87,Beijing,2.86
CIV,Côte d'Ivoire,Africa,35,61.3,34.1,20.9,Abidjan,21.49,Bouaké,2.85,Korhogo,1.95
CMR,Cameroon,Africa,55,40.4,69.7,28.2,Yaounde,25.42,Douala,16.2,Bamenda,3.19
COD,Democratic Republic of the Congo,Africa,160,49.0,40.1,19.7,Kinshasa,16.72,Lubumbashi,4.79,Mbuji-Mayi,1.59
COG,Republic of Congo,Africa,10,12.3,73.9,9.1,Brazzaville,45.11,Pointe-Noire,20.82,Mongo Kamba,2.95
COL,Colombia,Latin America and the Caribbean,92,270.2,98.0,264.8,Bogota,41.88,Medellín,8.6,Cali,7.01
COM,Comoros,Africa,2,1.2,39.7,0.5,Moroni,,Fomboni,,,
CPV,Cape Verde,Africa,2,1.9,6.6,0.1,Mindelo,,João Teves,,,
CRI,Costa Rica,Latin America and the Caribbean,3,61.8,43.7,27.0,San José,38.83,Cartago,4.03,Barranca,0.81
CUB,Cuba,Latin America and the Caribbean,19,107.4,76.0,81.6,Havana,35.91,Santiago de Cuba,6.59,Camagüey,5.19
CUW,Curaçao,Latin America and the Caribbean,1,,,3.9,Willemstad,,,,,
CYP,Cyprus,Asia,3,24.7,41.5,10.2,Nicosia,,Limassol,,Larnaca,
CZE,Czech Republic,Europe,12,245.3,24.1,59.1,Prague,13.96,Brno,2.88,Ostrava,1.86
DEU,Germany,Europe,87,3846.4,17.8,685.3,Dortmund,2.58,Berlin,1.83,Hamburg,1.4
DJI,Djibouti,Africa,4,3.4,32.1,1.1,Djibouti,,Sancal,,Tadjoura,
DNK,Denmark,Europe,4,356.1,15.8,56.3,Copenhagen,12.26,Aarhus,1.51,Odense,1.24
DOM,Dominican Republic,Latin America and the Caribbean,16,78.8,92.6,73.0,Santo Domingo,58.6,Santiago de los Caballeros,10.27,La Romana,3.53
DZA,Algeria,Africa,96,145.2,98.0,142.3,Algiers,29.7,Oran,6.92,Constantine,3.72
ECU,Ecuador,Latin America and the Caribbean,31,107.4,84.3,90.6,Quito,30.72,Guayaquil,26.19,Cuenca,3.79
EGY,Egypt,Africa,190,361.9,98.0,354.6,Cairo,45.38,Alexandria,11.34,Faiyum,2.08
ERI,Eritrea,Africa,14,2.1,10.4,0.2,Asmara,5.68,Massawa,2.7,Keren,0.48
ESH,Western Sahara,Africa,2,,,0.9,Dakhla,,Boujdour,,,
ESP,Spain,Europe,72,1281.5,41.8,535.4,Madrid,10.76,Barcelona,8.18,Valencia,4.09
EST,Estonia,Europe,2,30.6,25.6,7.9,Tallinn,21.95,Tartu,3.7,,
ETH,Ethiopia,Africa,500,107.6,38.1,41.0,Addis Ababa,10.73,Adama,0.79,Bahir Dar,0.72
FIN,Finland,Europe,6,271.2,9.9,26.8,Helsinki,7.54,Tampere,0.63,Oulu,0.59
FJI,Fiji,Oceania,1,4.4,31.7,1.4,Suva,31.67,,,,
FRA,France,Latin America and the Caribbean,76,2707.1,24.6,666.7,Paris,12.18,Lyon,1.18,Marseille,0.96
GAB,Gabon,Africa,5,15.3,63.1,9.7,Libreville,49.47,Port-Gentil,9.22,Point Denis,2.05
GBR,United Kingdom,Europe,138,2764.2,30.7,847.4,London,9.72,Birmingham,2.0,Manchester,1.94
GEO,Georgia,Asia,5,15.9,51.0,8.1,Tbilisi,36.47,Batumi,5.27,Kutaisi,5.16
GHA,Ghana,Africa,59,72.4,53.7,38.8,Accra,29.86,Kumasi,10.08,Takoradi [Sekondi-Takoradi],2.49
GIN,Guinea,Africa,18,15.7,22.2,3.5,Conakry,13.94,Kindia,1.56,Nzérékoré,1.09
GMB,Gambia,Africa,4,2.0,56.0,1.1,Serrekunda,49.79,Brikama,3.41,Yundum,1.89
GNB,Guinea-Bissau,Africa,3,1.5,49.3,0.7,Bissau,,Gabú,,Bafatá,
GNQ,Equatorial Guinea,Africa,2,10.0,98.0,9.8,Bata,58.92,Malabo,39.08,,
GRC,Greece,Europe,10,188.8,53.1,100.2,Athens,41.77,Thessaloniki,5.65,Patras,1.3
GTM,Guatemala,Latin America and the Caribbean,48,77.0,68.0,52.3,Guatemala City,44.84,Quetzaltenango,2.56,San José Pinula,2.12
GUY,Guyana,Latin America and the Caribbean,2,5.5,13.7,0.8,Georgetown,7.23,Sparendaam [Paradise],6.49,,
